compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
SmallMolecule.txt,PUBCHEM.COMPOUND:135480866,"N'-[[4-(4-tert-butylpyridin-1-ium-1-yl)-2-oxo-3H-1,3-thiazol-5-yl]methylideneamino]carbamimidothioate",biolink:SmallMolecule,7,PUBCHEM.COMPOUND:135800857,"N'-[[4-(4-tert-butylpyridin-1-ium-1-yl)-2-oxo-3H-1,3-thiazol-5-yl]methylideneamino]carbamimidothioate",leader_changed,SmallMolecule.txt,biolink:SmallMolecule,7,7,
MolecularMixture.txt,PUBCHEM.COMPOUND:13908905,silver N'-anilino-N-phenyliminocarbamimidothioate,biolink:MolecularMixture,7,PUBCHEM.COMPOUND:132770964,silver N'-anilino-N-phenyliminocarbamimidothioate,leader_changed,MolecularMixture.txt,biolink:MolecularMixture,7,7,
MolecularMixture.txt,PUBCHEM.COMPOUND:146673041,"Copper;trisodium;18-(2-carboxylatoethyl)-20-(carboxylatomethyl)-12-ethenyl-7-ethyl-8-formyl-3,13,17-trimethyl-17,18-dihydroporphyrin-21,23-diide-2-carboxylate",biolink:MolecularMixture,7,PUBCHEM.COMPOUND:131704514,"Copper;trisodium;18-(2-carboxylatoethyl)-20-(carboxylatomethyl)-12-ethenyl-7-ethyl-8-formyl-3,13,17-trimethyl-17,18-dihydroporphyrin-21,23-diide-2-carboxylate",leader_changed,MolecularMixture.txt,biolink:MolecularMixture,7,7,
MolecularMixture.txt,PUBCHEM.COMPOUND:154285574,Cobalt;manganese;nickel;hydrate,biolink:MolecularMixture,7,PUBCHEM.COMPOUND:172732053,Cobalt;manganese;nickel;hydrate,leader_changed,MolecularMixture.txt,biolink:MolecularMixture,7,7,
MolecularMixture.txt,PUBCHEM.COMPOUND:15917189,Trimethylazanium iodide,biolink:MolecularMixture,7,PUBCHEM.COMPOUND:13798042,Trimethylazanium iodide,leader_changed,MolecularMixture.txt,biolink:MolecularMixture,7,7,
MolecularMixture.txt,PUBCHEM.COMPOUND:164513549,Pentaoxidanium;tungsten;triacontahydrate,biolink:MolecularMixture,7,PUBCHEM.COMPOUND:164513551,Pentaoxidanium;tungsten;triacontahydrate,leader_changed,MolecularMixture.txt,biolink:MolecularMixture,7,7,
MolecularMixture.txt,PUBCHEM.COMPOUND:169007858,Carbanide;tris(yttrium),biolink:MolecularMixture,7,PUBCHEM.COMPOUND:157403651,Carbanide;tris(yttrium),leader_changed,MolecularMixture.txt,biolink:MolecularMixture,7,7,
MolecularMixture.txt,PUBCHEM.COMPOUND:170844883,Sodium 6-amino-5-[(2-carboxy-4-nitrophenyl)diazenyl]-3-sulfonaphthalen-1-olate,biolink:MolecularMixture,7,PUBCHEM.COMPOUND:135853522,Sodium 6-amino-5-[(2-carboxy-4-nitrophenyl)diazenyl]-3-sulfonaphthalen-1-olate,leader_changed,MolecularMixture.txt,biolink:MolecularMixture,7,7,
MolecularMixture.txt,PUBCHEM.COMPOUND:175462368,Iron;molybdenum;nickel,biolink:MolecularMixture,7,PUBCHEM.COMPOUND:173785406,Iron;molybdenum;nickel,leader_changed,MolecularMixture.txt,biolink:MolecularMixture,7,7,
SmallMolecule.txt,PUBCHEM.COMPOUND:280295,N-[(4-methoxyphenyl)-methyl-lambda4-sulfanylidene]-4-methylbenzenesulfonamide,biolink:SmallMolecule,7,PUBCHEM.COMPOUND:92243965,N-[(4-methoxyphenyl)-methyl-lambda4-sulfanylidene]-4-methylbenzenesulfonamide,leader_changed,SmallMolecule.txt,biolink:SmallMolecule,7,7,
